 IP Address: 128.48.96.67 	 Port: 992 	 SSL: Yes 	 Hostname: uc30-vipb.ucop.edu
 IP Address: 128.48.96.68 	 Port: 992 	 SSL: Yes 	 Hostname: uc30-vipc.ucop.edu
 IP Address: 130.127.160.2 	 Port: 992 	 SSL: Yes 	 Hostname: mvsvtam.clemson.edu
 IP Address: 130.127.28.10 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 130.70.131.131 	 Port: 992 	 SSL: Yes 	 Hostname: mvs.louisiana.edu
 IP Address: 130.70.132.132 	 Port: 992 	 SSL: Yes 	 Hostname: oistest.louisiana.edu
 IP Address: 134.121.1.49 	 Port: 992 	 SSL: Yes 	 Hostname: aisdevl.it.wsu.edu
 IP Address: 134.121.1.5 	 Port: 992 	 SSL: Yes 	 Hostname: wsumvs1.it.wsu.edu
 IP Address: 134.121.1.58 	 Port: 992 	 SSL: Yes 	 Hostname: bootstrap.it.wsu.edu
 IP Address: 137.134.244.106 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 137.134.244.115 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 137.99.26.5 	 Port: 992 	 SSL: Yes 	 Hostname: uconnmvs.uconn.edu
 IP Address: 138.23.225.207 	 Port: 992 	 SSL: Yes 	 Hostname: ibmtst1.ucr.edu
 IP Address: 138.23.225.208 	 Port: 992 	 SSL: Yes 	 Hostname: ibmtst2.ucr.edu
 IP Address: 138.23.225.209 	 Port: 992 	 SSL: Yes 	 Hostname: ibmprd1.ucr.edu
 IP Address: 138.23.225.210 	 Port: 992 	 SSL: Yes 	 Hostname: ucribm.ucr.edu
 IP Address: 138.23.225.211 	 Port: 992 	 SSL: Yes 	 Hostname: ibmprd2.ucr.edu
 IP Address: 138.23.225.22 	 Port: 992 	 SSL: Yes 	 Hostname: ibmtest2.ucr.edu
 IP Address: 143.43.193.26 	 Port: 992 	 SSL: Yes 	 Hostname: mvs.wiu.edu
 IP Address: 143.43.193.33 	 Port: 992 	 SSL: Yes 	 Hostname: stumvs.wiu.edu
 IP Address: 146.201.218.211 	 Port: 992 	 SSL: Yes 	 Hostname: test.nwrdc.fsu.edu
 IP Address: 153.110.169.3 	 Port: 992 	 SSL: Yes 	 Hostname: e-torg.hamar.edb.com
 IP Address: 162.114.16.46 	 Port: 992 	 SSL: Yes 	 Hostname: dishost.state.ky.us
 IP Address: 162.114.24.14 	 Port: 992 	 SSL: Yes 	 Hostname: cdc2.state.ky.us
 IP Address: 164.64.7.1 	 Port: 992 	 SSL: Yes 	 Hostname: nmgsdisd.state.nm.us
 IP Address: 164.64.7.129 	 Port: 992 	 SSL: Yes 	 Hostname: nmgsdmvs2.state.nm.us
 IP Address: 164.64.7.241 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 164.64.7.250 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 164.64.7.251 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 164.67.134.200 	 Port: 992 	 SSL: Yes 	 Hostname: zos.ais.ucla.edu
 IP Address: 164.67.134.201 	 Port: 992 	 SSL: Yes 	 Hostname: zostm.ais.ucla.edu
 IP Address: 165.123.81.212 	 Port: 992 	 SSL: Yes 	 Hostname: iron.umis.upenn.edu
 IP Address: 165.123.81.213 	 Port: 992 	 SSL: Yes 	 Hostname: ivytest.umis.upenn.edu
 IP Address: 165.123.81.214 	 Port: 992 	 SSL: Yes 	 Hostname: ivy.umis.upenn.edu
 IP Address: 165.20.111.25 	 Port: 992 	 SSL: Yes 	 Hostname: prereg.nmh.org
 IP Address: 165.221.4.12 	 Port: 992 	 SSL: Yes 	 Hostname: debes.usda.gov
 IP Address: 165.221.4.13 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 165.221.4.42 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 165.221.4.43 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 165.221.4.45 	 Port: 992 	 SSL: Yes 	 Hostname: not found
 IP Address: 167.131.4.2 	 Port: 992 	 SSL: Yes 	 Hostname: odot.odot.state.or.us
 IP Address: 168.254.2.10 	 Port: 992 	 SSL: Yes 	 Hostname: sdhc10.sdhc.k12.fl.us
